time,latitude,longitude,depth,mag,depthError
2004-03-05T00:49:33.460Z,-3.414,145.35,17.4,5.6,23.2
2004-03-06T06:26:42.130Z,-5.112,152.588,44.7,5.5,6.9
2004-03-09T05:56:32.560Z,-2.131,125.106,29.6,5.6,0
2004-03-15T04:19:41.090Z,2.07,126.695,58.5,5.5,8.8
2004-03-17T06:16:34.010Z,11.155,124.708,73.2,5.5,13.9
2004-03-20T08:53:15.110Z,53.829,160.468,52.5,5.6,4.5
2004-03-23T21:20:39.670Z,18.774,144.735,27.1,5.5,0
2004-03-23T21:57:07.480Z,18.788,144.764,29.6,5.7,13.1
2004-03-24T01:53:49.430Z,45.382,118.256,18.8,5.5,0
2004-03-26T15:20:06.620Z,41.863,144.209,22.4,5.8,7.5
2004-03-27T06:19:36.890Z,-6.256,154.76,48.1,5.9,0
2004-04-02T15:41:30.430Z,-0.01,124.932,24.6,5.6,16.4
2004-04-03T23:02:00.870Z,36.428,141.008,31,6,0
2004-04-10T07:35:24.400Z,8.044,137.215,40.9,5.8,0
2004-04-11T07:37:29.850Z,-3.729,140.081,20,6.2,0
2004-04-11T18:06:12.480Z,42.918,144.836,41.8,6.1,0
2004-04-14T01:54:09.220Z,55.226,162.659,51.3,6.2,0
2004-04-16T18:32:24.010Z,-8.669,114.65,95.5,5.5,0
2004-04-17T15:58:24.610Z,-7.352,128.373,128.6,5.8,5.2
2004-04-22T14:16:07.000Z,-3.355,146.853,35,6,0
2004-04-23T01:50:30.220Z,-9.362,122.839,65.8,6.7,0
2004-05-06T13:43:12.890Z,42.525,145.021,28.6,5.5,0
2004-05-08T08:02:54.220Z,21.949,121.604,26.4,5.6,10.3
2004-05-13T09:58:43.450Z,-3.584,150.73,10,6.4,0
2004-05-13T17:34:36.270Z,11.743,144.247,24,5.8,0
2004-05-16T06:04:12.760Z,23.095,121.814,34.5,5.6,0
2004-05-16T11:01:14.520Z,7.63,126.166,11.8,5.8,0
2004-05-19T07:04:11.710Z,22.662,121.505,20,6.2,0
2004-05-27T10:10:36.280Z,6.591,126.411,62.9,5.7,0
2004-05-29T03:47:10.770Z,37.752,141.881,29.3,5.8,0
2004-05-29T20:56:09.600Z,34.251,141.406,16,6.5,0
2004-06-10T18:12:09.290Z,42.395,142.958,49.9,5.8,0
2004-06-25T02:35:07.790Z,-6.711,130.375,70.5,6.1,0
2004-06-29T11:40:17.060Z,-0.665,123.36,10,5.5,0
2004-06-30T23:37:25.450Z,0.797,124.726,90.8,6.3,0
2004-07-01T19:28:45.290Z,-5.91,148.662,56.9,5.6,0
2004-07-08T10:30:49.160Z,47.198,151.303,128.5,6.4,0
2004-07-17T06:10:18.070Z,34.746,140.218,46.1,5.6,0
2004-07-20T14:16:23.520Z,19.639,146.808,13.4,5.9,0
2004-07-22T09:45:14.900Z,26.489,128.894,20.9,6.1,6.9
2004-07-24T18:54:58.270Z,26.488,128.754,30.8,5.5,6.3
2004-07-28T03:56:28.600Z,-0.443,133.091,13.4,6.5,0
2004-07-28T04:01:59.900Z,-0.328,133.061,10,5.5,0
2004-07-28T10:23:28.950Z,-10.308,161.168,56.1,5.7,0
2004-07-29T22:21:41.820Z,-4.093,143.036,56.2,5.7,0
2004-08-04T21:15:15.560Z,52.315,159.563,36.4,5.6,6.1
2004-08-05T01:46:50.090Z,13.965,146.366,46.1,5.5,6.3
2004-08-10T05:37:06.310Z,-3.162,150.294,19,5.5,0
2004-08-10T06:13:33.240Z,39.633,141.956,69.7,5.7,4.2
2004-08-19T06:35:03.980Z,13.817,123.995,44.2,5.5,6.8
2004-08-28T16:09:35.170Z,-8.82,157.354,13.5,5.6,22
2004-08-28T16:13:14.300Z,-8.66,157.239,10,5.6,0
2004-08-28T17:00:58.250Z,-8.689,157.253,10,5.7,0
2004-08-30T12:23:21.600Z,49.539,157.279,11.5,5.7,10.3
2004-08-31T16:25:10.320Z,7.291,126.957,10,5.7,0
2004-09-01T02:49:28.610Z,36.959,141.607,34.9,5.7,0
2004-09-05T10:07:07.820Z,33.07,136.618,14,7.2,0
2004-09-05T14:57:18.610Z,33.184,137.071,10,7.4,0
2004-09-05T20:30:59.810Z,33.247,136.804,10,5.7,0
2004-09-06T15:31:37.290Z,9.134,126.328,47.9,5.5,14.2
2004-09-06T23:29:35.090Z,33.205,137.227,10,6.6,0
2004-09-07T18:36:20.270Z,33.237,137.092,10,5.6,0
2004-09-08T14:58:25.830Z,33.14,137.2,21.2,6.1,9.2
2004-09-10T02:05:57.830Z,33.059,136.497,10,5.6,0
2004-09-13T03:00:12.850Z,43.998,151.408,8,6.1,0
2004-09-14T20:15:16.870Z,7.959,127.466,15.3,5.5,15.3
2004-09-15T19:10:50.600Z,14.22,120.411,115.4,6,0
2004-09-15T19:45:42.070Z,5.885,125.277,82.2,5.5,0
2004-10-01T09:40:26.670Z,3.615,128.386,10,5.6,0
2004-10-04T19:20:34.980Z,14.546,146.993,7.2,6,0
2004-10-06T14:40:39.920Z,35.95,139.919,64,5.8,0
2004-10-06T22:30:56.950Z,-0.67,134.426,10,6.2,0
2004-10-08T08:27:53.540Z,-10.951,162.161,36,6.8,0
2004-10-08T14:36:06.110Z,13.925,120.534,105,6.5,0
2004-10-10T06:52:39.800Z,-6.689,130.435,69,5.5,5.6
2004-10-11T06:37:13.320Z,5.389,126.437,30.5,5.8,14.4
2004-10-13T20:35:41.050Z,-6.066,130.528,89.9,5.8,0
2004-10-15T04:08:50.240Z,24.53,122.694,94,6.7,4.4
